class_rep	member	shape	source_tables	n_pairs	census_undirected_edges	inverse_id
405b7c3d3a0f	ddefe5f1daa4	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	8562c2351bec
427e8cc7a808	427e8cc7a808	60,60,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	4	bbf1b4974173
427e8cc7a808	f5542aa46bd8	60,60,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	4	dd454bcc3c5a
429db3717944	429db3717944	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	32	b13177991e02
429db3717944	b081b754d26e	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=28	32	62a74ce65faa
4397e30222b2	4397e30222b2	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	8	d3d61412dc56
4397e30222b2	45a947482465	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	8	27b09fd682e3
4c6e579a7560	4c6e579a7560	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=8	9	72d376c5571d
4c6e579a7560	72d376c5571d	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=8	9	4c6e579a7560
5166d6e62e75	5166d6e62e75	36,36,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=3	8	151c9d94814a
5166d6e62e75	e3da64e6da9b	36,36,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=3	8	3f4b1bcb6fa8
53ccd5171863	53ccd5171863	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	3a296520ca00
53ccd5171863	9e9d1fddba16	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	ec8aeb81c478
5466fc6ea07e	5466fc6ea07e	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	3b4fcdbf4387
5466fc6ea07e	d16acee52433	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	05ae19017d4c
5581e578134b	5581e578134b	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	12	d0a01a1ac47d
5581e578134b	d0a01a1ac47d	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	12	5581e578134b
566247c9db1e	566247c9db1e	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	31a6811f7e37
566247c9db1e	ed39c8e00437	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	b084b8ac8244
5937ccee41db	5937ccee41db	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	9904ad27d680
5937ccee41db	8aa1caeeb336	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	a4ae35cede60
5a8c41d2ff5e	5a8c41d2ff5e	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	b63310b11815
5a8c41d2ff5e	e102740b5841	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	399155bb1069
60748cf01c32	60748cf01c32	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	8	95415ff344bb
60748cf01c32	c46ad2463388	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	8	39a60f60d325
62a74ce65faa	62a74ce65faa	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=28	32	b081b754d26e
62a74ce65faa	b13177991e02	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	32	429db3717944
633ce2d3f413	633ce2d3f413	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	9ca1059f7d02
633ce2d3f413	e97471679399	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	7b8c90303ed0
65e6ee3248d6	65e6ee3248d6	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	c589e2232376
65e6ee3248d6	dcabc927a335	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	b3530b0fdb4c
65faf8c9cd20	65faf8c9cd20	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	ac9bbabf002d
65faf8c9cd20	a281daa84496	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	686a622fdddc
67eacd157bbc	67eacd157bbc	36,36,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=3	8	3394d4cf4ce9
67eacd157bbc	90d033b7ddbf	36,36,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=3	8	b84e5852608b
686a622fdddc	686a622fdddc	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	a281daa84496
686a622fdddc	ac9bbabf002d	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	65faf8c9cd20
6930b7d208a7	6930b7d208a7	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	b0c4e9f7edee
6930b7d208a7	9d43d80d96dc	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	83998764da35
6a6961005e6e	6a6961005e6e	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	ef2d70e4fcf5
6a6961005e6e	af2802484319	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	cf7caaa9c7fc
6d77557bf8f2	6d77557bf8f2	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	d2922ca9327a
6d77557bf8f2	f67057a04d42	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	a6bd3e103a4c
709cf47fa2d3	709cf47fa2d3	138,138,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	4	279bcba663d9
709cf47fa2d3	8709489b69c1	138,138,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=2	4	ff4cfd62723a
71e1161ee3eb	71e1161ee3eb	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	8	64747b1aaa96
71e1161ee3eb	d306546e9989	108,108,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	8	1d16cacba0be
74d503e42116	74d503e42116	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	8	02397927f53b
74d503e42116	fb50a523fce2	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	8	725677205daf
7b8c90303ed0	7b8c90303ed0	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	e97471679399
7b8c90303ed0	9ca1059f7d02	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	633ce2d3f413
7df736fe1c4c	7df736fe1c4c	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	1	d3f5b74d7545
7df736fe1c4c	d3f5b74d7545	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	1	7df736fe1c4c
801e28b3acb6	801e28b3acb6	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	b83b30ee08ce
801e28b3acb6	ce6c866f9d29	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	3fec56d50447
83998764da35	83998764da35	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	9d43d80d96dc
83998764da35	b0c4e9f7edee	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	6930b7d208a7
8562c2351bec	8562c2351bec	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	ddefe5f1daa4
8562c2351bec	ff1349883d98	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	405b7c3d3a0f
90628da2dd0c	90628da2dd0c	126,126,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=4	16	e8010fda4ae9
90628da2dd0c	a9604abeb264	126,126,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=3	16	1e97b4d2bd18
939426db79b6	939426db79b6	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	a89df6442166
939426db79b6	fb61739cb012	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	292c02641e63
94ad22a39ddf	94ad22a39ddf	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	aeff70f41be6
94ad22a39ddf	ea32ce94656c	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	05d1006a63d6
94b0710c21f2	94b0710c21f2	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	dc5f150968a2
94b0710c21f2	b064367f901c	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	f0315d3d0817
94fd6c73a0d1	94fd6c73a0d1	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	2cd2cc12e153
94fd6c73a0d1	a98e907ebc54	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	05db12227184
9904ad27d680	9904ad27d680	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	5937ccee41db
9904ad27d680	a4ae35cede60	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	8aa1caeeb336
a5214c898b1c	a5214c898b1c	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	8	033afc57097e
a5214c898b1c	f3530a9a4032	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	8	b4f13531d2e2
a6bd3e103a4c	a6bd3e103a4c	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	f67057a04d42
a6bd3e103a4c	d2922ca9327a	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	6d77557bf8f2
a6cdd296693f	a6cdd296693f	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	42fbf3f0d536
a6cdd296693f	b33e8d83721c	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	08979c4016d6
ac929078ff48	ac929078ff48	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	1	c72856868563
ac929078ff48	c72856868563	48,48,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	1	ac929078ff48
af8282bcbcba	af8282bcbcba	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	3a101202e00b
af8282bcbcba	f64e9f0a8b15	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	d1a0033e1269
b33afc4539f0	b33afc4539f0	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	19278553942a
b33afc4539f0	df07b5dbb378	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	bbd8011c82a9
b3530b0fdb4c	b3530b0fdb4c	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	dcabc927a335
b3530b0fdb4c	c589e2232376	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	65e6ee3248d6
bbf1b4974173	bbf1b4974173	60,60,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	4	427e8cc7a808
bbf1b4974173	dd454bcc3c5a	60,60,0,0	rules_n7_a4840_band200.tsv	rules_n7_a4840_band200.tsv=1	4	f5542aa46bd8
bf52ef05ab91	bf52ef05ab91	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	aca056ea4c48
bf52ef05ab91	d6df25eea20b	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	3b998b76d7fd
bfc9f419917a	bfc9f419917a	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	cc6f0000205a
bfc9f419917a	d430b91bbd51	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	e9fe89e56945
cc6f0000205a	cc6f0000205a	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	bfc9f419917a
cc6f0000205a	e9fe89e56945	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	d430b91bbd51
cf7caaa9c7fc	cf7caaa9c7fc	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	af2802484319
cf7caaa9c7fc	ef2d70e4fcf5	132,132,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	6a6961005e6e
dc5f150968a2	dc5f150968a2	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	94b0710c21f2
dc5f150968a2	f0315d3d0817	156,156,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	2	b064367f901c
e1f44691aec8	e1f44691aec8	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=2	4	ceaf9e8f25f1
e1f44691aec8	f929134a1b76	72,72,0,0	rules_n7_a4840_gen2.tsv	rules_n7_a4840_gen2.tsv=1	4	2385661fb60e
